epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3757,1.42953,4.84609,1.508,0.00722,0.054,0.00598,0.00457,1.29745,4.57296,1.48727,2.788e-05,2.788e-05,2.788e-05
2,16.9195,1.28272,4.75417,1.42054,0.01528,0.10913,0.01865,0.01541,1.27757,4.46995,1.46566,5.5127e-05,5.5127e-05,5.5127e-05
3,20.6875,1.30626,4.64539,1.4308,0.03396,0.19439,0.04882,0.03806,1.24683,4.36413,1.44923,8.00359e-05,8.00359e-05,8.00359e-05
4,24.2571,1.21969,4.49838,1.37099,0.0326,0.26168,0.07356,0.05738,1.21956,4.19706,1.42098,0.000102607,0.000102607,0.000102607
5,28.4883,1.28376,4.41461,1.42401,0.021,0.30466,0.07205,0.05926,1.22772,4.0978,1.41276,0.00012284,0.00012284,0.00012284
6,34.9511,1.28829,4.25581,1.41286,0.02636,0.387,0.09425,0.07462,1.23052,3.94011,1.41069,0.000131528,0.000131528,0.000131528
7,38.5596,1.2305,4.12617,1.37294,0.02651,0.4664,0.11518,0.09275,1.23623,3.8485,1.41838,0.000125034,0.000125034,0.000125034
8,42.0602,1.23743,4.0179,1.41044,0.02927,0.49435,0.13484,0.1097,1.23069,3.76434,1.42176,0.000118539,0.000118539,0.000118539
9,46.0654,1.22311,3.94157,1.37301,0.5701,0.13031,0.16392,0.13093,1.23274,3.70038,1.42459,0.000112045,0.000112045,0.000112045
10,51.8987,1.2652,3.8113,1.43259,0.58329,0.1486,0.18978,0.15514,1.23663,3.61473,1.45606,0.00010555,0.00010555,0.00010555
11,55.5942,1.26685,3.78592,1.43793,0.54043,0.15301,0.20208,0.16456,1.22821,3.56309,1.46324,9.9056e-05,9.9056e-05,9.9056e-05
12,59.2541,1.2174,3.65657,1.44,0.46952,0.17205,0.21657,0.17706,1.23652,3.49722,1.47021,9.25616e-05,9.25616e-05,9.25616e-05
13,63.2697,1.1792,3.58387,1.35844,0.48497,0.20443,0.23684,0.19113,1.24656,3.444,1.47758,8.60672e-05,8.60672e-05,8.60672e-05
14,69.5192,1.24351,3.62982,1.41693,0.71502,0.17576,0.26218,0.21035,1.26923,3.35757,1.50184,7.95728e-05,7.95728e-05,7.95728e-05
15,73.1844,1.20307,3.50946,1.40273,0.56598,0.22057,0.27388,0.22016,1.26681,3.3121,1.50197,7.30784e-05,7.30784e-05,7.30784e-05
16,77.791,1.2108,3.32038,1.48547,0.60199,0.23184,0.28989,0.23304,1.24729,3.25053,1.49616,6.6584e-05,6.6584e-05,6.6584e-05
17,84.7831,1.21554,3.2984,1.47779,0.6657,0.23468,0.30511,0.24649,1.24518,3.19478,1.4923,6.00896e-05,6.00896e-05,6.00896e-05
18,88.8531,1.15948,3.23258,1.41713,0.747,0.23337,0.32492,0.26319,1.26363,3.14532,1.507,5.35952e-05,5.35952e-05,5.35952e-05
19,92.4885,1.19347,3.23064,1.47289,0.52172,0.31183,0.33785,0.27565,1.26097,3.11524,1.50635,4.71008e-05,4.71008e-05,4.71008e-05
20,95.9711,1.16224,3.15892,1.45014,0.5128,0.33104,0.35201,0.28463,1.26164,3.0908,1.51068,4.06064e-05,4.06064e-05,4.06064e-05
21,101.317,1.1905,3.19117,1.45681,0.56606,0.31867,0.36463,0.29562,1.25978,3.07733,1.51527,3.4112e-05,3.4112e-05,3.4112e-05
22,105.582,1.16112,3.17002,1.42382,0.57291,0.31504,0.37008,0.29831,1.26213,3.04168,1.52179,2.76176e-05,2.76176e-05,2.76176e-05
23,109.037,1.14894,3.10739,1.44938,0.58992,0.31705,0.37448,0.30202,1.26,3.02492,1.51934,2.11232e-05,2.11232e-05,2.11232e-05
24,112.503,1.14187,3.07125,1.4404,0.5914,0.31844,0.37688,0.30425,1.26205,3.01861,1.5228,1.46288e-05,1.46288e-05,1.46288e-05
25,117.871,1.12938,3.09015,1.42892,0.56432,0.32284,0.37821,0.30596,1.26057,3.0145,1.5185,8.1344e-06,8.1344e-06,8.1344e-06
