epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2662,1.9549,4.91362,1.90256,0,0,0,0,1.85998,4.72686,1.9936,2.788e-05,2.788e-05,2.788e-05
2,14.1962,1.60912,4.86149,1.67399,0,0,0,0,1.5505,4.51461,1.6354,5.5127e-05,5.5127e-05,5.5127e-05
3,20.3434,1.51859,4.81865,1.59562,0,0,0,0,1.45398,4.42866,1.53157,8.00359e-05,8.00359e-05,8.00359e-05
4,25.6103,1.42278,4.69613,1.4793,0.00585,0.00585,0.00782,0.00782,1.40761,4.34749,1.48515,0.000102607,0.000102607,0.000102607
5,29.3859,1.49915,4.62798,1.53791,0.01131,0.03187,0.01381,0.01227,1.41723,4.29192,1.4983,0.00012284,0.00012284,0.00012284
6,34.0153,1.49947,4.56785,1.55677,0.01218,0.28676,0.03144,0.0256,1.42114,4.16155,1.53359,0.000131528,0.000131528,0.000131528
7,40.0949,1.41338,4.50218,1.49524,0.01252,0.37615,0.03653,0.0297,1.42266,4.08153,1.55994,0.000125034,0.000125034,0.000125034
8,43.7592,1.42938,4.44516,1.52268,0.01229,0.40597,0.04234,0.03512,1.44987,4.04696,1.59677,0.000118539,0.000118539,0.000118539
9,47.4302,1.42222,4.42637,1.49844,0.01464,0.42703,0.04844,0.04108,1.44129,4.0233,1.59311,0.000112045,0.000112045,0.000112045
10,53.7285,1.43412,4.36386,1.52786,0.01509,0.42793,0.05295,0.04505,1.42355,3.97863,1.56999,0.00010555,0.00010555,0.00010555
11,58.6272,1.46806,4.35909,1.56212,0.01536,0.43085,0.05514,0.0459,1.42123,3.97755,1.57926,9.9056e-05,9.9056e-05,9.9056e-05
12,62.4172,1.40143,4.27013,1.51454,0.6057,0.05396,0.06323,0.05266,1.40181,3.96452,1.56539,9.25616e-05,9.25616e-05,9.25616e-05
13,66.149,1.37994,4.25025,1.47997,0.59725,0.06157,0.07664,0.06442,1.38799,3.97825,1.56291,8.60672e-05,8.60672e-05,8.60672e-05
14,71.7902,1.39192,4.269,1.51117,0.58365,0.07273,0.09758,0.0784,1.36731,3.93601,1.55274,7.95728e-05,7.95728e-05,7.95728e-05
15,76.9262,1.40178,4.22142,1.50687,0.58352,0.08318,0.11162,0.08813,1.36106,3.90991,1.55301,7.30784e-05,7.30784e-05,7.30784e-05
16,81.5473,1.38341,4.00495,1.54246,0.61944,0.09419,0.11367,0.08933,1.36107,3.85994,1.54139,6.6584e-05,6.6584e-05,6.6584e-05
17,85.2955,1.36274,4.01069,1.52354,0.59197,0.10918,0.11719,0.09265,1.34749,3.81287,1.532,6.00896e-05,6.00896e-05,6.00896e-05
18,90.9364,1.35998,3.95095,1.52909,0.50636,0.12137,0.12069,0.0966,1.33021,3.76292,1.51744,5.35952e-05,5.35952e-05,5.35952e-05
19,94.8626,1.33491,3.9408,1.53015,0.49123,0.12756,0.12769,0.10263,1.33392,3.72885,1.52351,4.71008e-05,4.71008e-05,4.71008e-05
20,98.4016,1.33077,3.92442,1.53672,0.51053,0.13244,0.13067,0.10477,1.32896,3.70021,1.532,4.06064e-05,4.06064e-05,4.06064e-05
21,102.005,1.35649,3.92005,1.55293,0.50961,0.14267,0.13532,0.10891,1.33578,3.67948,1.54431,3.4112e-05,3.4112e-05,3.4112e-05
22,107.792,1.33998,3.91459,1.53106,0.51366,0.1434,0.13608,0.11016,1.33085,3.64158,1.53933,2.76176e-05,2.76176e-05,2.76176e-05
23,111.906,1.3071,3.89542,1.52244,0.51682,0.14664,0.13434,0.10768,1.32913,3.62975,1.53583,2.11232e-05,2.11232e-05,2.11232e-05
24,115.397,1.31133,3.87157,1.51648,0.51625,0.1478,0.13655,0.10934,1.33224,3.62024,1.53685,1.46288e-05,1.46288e-05,1.46288e-05
25,118.855,1.34154,3.87629,1.53551,0.54852,0.1351,0.13713,0.10952,1.33029,3.62116,1.53536,8.1344e-06,8.1344e-06,8.1344e-06
