epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4708,0.8785,4.67108,1.09234,0.01808,0.57926,0.05844,0.05222,0.66439,3.65913,0.9715,5.4314e-05,5.4314e-05,5.4314e-05
2,82.3339,0.82901,3.83785,1.07702,0.38577,0.25611,0.21523,0.1874,0.69245,2.88982,1.03587,0.000104665,0.000104665,0.000104665
3,116.507,0.87948,3.10099,1.13177,0.54453,0.45554,0.45232,0.39573,0.67901,2.05327,1.08867,0.000150686,0.000150686,0.000150686
4,150.324,0.88815,2.45687,1.16921,0.69868,0.62864,0.69144,0.60574,0.65488,1.52823,1.08149,0.000144517,0.000144517,0.000144517
5,182.556,0.84263,2.01193,1.14465,0.7572,0.73541,0.77976,0.6912,0.60643,1.19509,1.06088,0.000138022,0.000138022,0.000138022
6,214.699,0.8009,1.72415,1.12253,0.86219,0.78312,0.83583,0.74105,0.58296,1.01702,1.02753,0.000131528,0.000131528,0.000131528
7,251.347,0.76113,1.54674,1.1004,0.86975,0.82149,0.86344,0.77353,0.56651,0.93081,1.02567,0.000125034,0.000125034,0.000125034
8,284.494,0.74587,1.42318,1.09477,0.88902,0.84817,0.88038,0.79067,0.55152,0.87124,1.004,0.000118539,0.000118539,0.000118539
9,318.008,0.71518,1.3298,1.06642,0.92503,0.85048,0.88857,0.8065,0.51439,0.79577,0.99458,0.000112045,0.000112045,0.000112045
10,351.76,0.70513,1.27955,1.07357,0.90743,0.8888,0.90187,0.81709,0.51984,0.74405,0.98124,0.00010555,0.00010555,0.00010555
11,384.875,0.69952,1.23863,1.06103,0.91488,0.88005,0.90284,0.82243,0.49162,0.71951,0.97555,9.9056e-05,9.9056e-05,9.9056e-05
12,418.169,0.67349,1.17213,1.05244,0.93063,0.88147,0.9074,0.83104,0.48245,0.69974,0.97421,9.25616e-05,9.25616e-05,9.25616e-05
13,451.082,0.66754,1.16898,1.04827,0.93591,0.89041,0.90791,0.83384,0.48072,0.67857,0.96294,8.60672e-05,8.60672e-05,8.60672e-05
14,483.012,0.66139,1.11341,1.0419,0.93426,0.88852,0.91149,0.83443,0.48677,0.66648,0.96465,7.95728e-05,7.95728e-05,7.95728e-05
15,516.217,0.65546,1.10134,1.03819,0.93323,0.89851,0.91569,0.8437,0.46018,0.64059,0.95514,7.30784e-05,7.30784e-05,7.30784e-05
16,553.753,0.51928,0.90496,0.97559,0.93723,0.89794,0.91558,0.84616,0.45748,0.6269,0.94761,6.6584e-05,6.6584e-05,6.6584e-05
17,586.166,0.50802,0.88375,0.96814,0.93994,0.90185,0.91613,0.84468,0.45991,0.6212,0.94906,6.00896e-05,6.00896e-05,6.00896e-05
18,618.38,0.49167,0.85632,0.9596,0.92901,0.91439,0.91848,0.84912,0.44518,0.60136,0.94319,5.35952e-05,5.35952e-05,5.35952e-05
19,648.464,0.48456,0.83164,0.95422,0.92964,0.90905,0.91875,0.85186,0.44001,0.59277,0.93984,4.71008e-05,4.71008e-05,4.71008e-05
20,677.678,0.47231,0.82354,0.94731,0.94359,0.89974,0.91979,0.85331,0.43163,0.5872,0.93692,4.06064e-05,4.06064e-05,4.06064e-05
21,708.865,0.47448,0.82332,0.94801,0.94677,0.89985,0.92104,0.85595,0.42876,0.57699,0.93298,3.4112e-05,3.4112e-05,3.4112e-05
22,740.776,0.47787,0.80968,0.95573,0.94529,0.90016,0.92123,0.85634,0.42805,0.57293,0.93008,2.76176e-05,2.76176e-05,2.76176e-05
23,773.043,0.46256,0.79861,0.93976,0.94139,0.90708,0.92165,0.85802,0.42778,0.57057,0.9331,2.11232e-05,2.11232e-05,2.11232e-05
24,803.389,0.45991,0.78666,0.94251,0.94038,0.90621,0.92206,0.85855,0.42099,0.56194,0.92872,1.46288e-05,1.46288e-05,1.46288e-05
25,838.009,0.45338,0.77778,0.94012,0.93657,0.90992,0.92216,0.85957,0.41952,0.5604,0.92862,8.1344e-06,8.1344e-06,8.1344e-06
