epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.137,1.04389,3.72906,1.1699,0.64853,0.51149,0.55563,0.46703,0.74427,1.79728,1.14398,5.45486e-05,5.45486e-05,5.45486e-05
2,220.587,0.80934,1.87,1.13147,0.8674,0.79373,0.8546,0.74829,0.63035,0.96797,1.09557,0.00010489,0.00010489,0.00010489
3,319.307,0.71768,1.37183,1.07554,0.89465,0.87726,0.89796,0.79733,0.5598,0.74818,1.04116,0.000150902,0.000150902,0.000150902
4,415.421,0.68178,1.21888,1.05159,0.9193,0.89011,0.90871,0.81981,0.51707,0.65718,1.01305,0.000144517,0.000144517,0.000144517
5,510.234,0.648,1.11919,1.03267,0.93266,0.90164,0.9168,0.83063,0.50618,0.61045,1.00352,0.000138022,0.000138022,0.000138022
6,614.086,0.61349,1.01452,1.01121,0.92834,0.90323,0.92018,0.83316,0.50012,0.58837,0.99578,0.000131528,0.000131528,0.000131528
7,710.413,0.60188,0.97123,1.00055,0.92772,0.90546,0.92121,0.83991,0.47948,0.56537,0.97926,0.000125034,0.000125034,0.000125034
8,815.257,0.58576,0.92754,0.99149,0.94566,0.89744,0.92611,0.84655,0.47565,0.5562,0.97222,0.000118539,0.000118539,0.000118539
9,913.241,0.57077,0.89596,0.9835,0.94107,0.89624,0.92693,0.84693,0.4709,0.53713,0.9636,0.000112045,0.000112045,0.000112045
10,1018.02,0.56023,0.86262,0.97753,0.93285,0.90985,0.93067,0.85248,0.46262,0.52476,0.96256,0.00010555,0.00010555,0.00010555
11,1114.94,0.55026,0.83346,0.97308,0.93613,0.90905,0.9298,0.8485,0.46445,0.53529,0.96277,9.9056e-05,9.9056e-05,9.9056e-05
12,1217.13,0.53825,0.81286,0.96713,0.94656,0.90567,0.93439,0.8565,0.45112,0.50109,0.95804,9.25616e-05,9.25616e-05,9.25616e-05
13,1312.77,0.52912,0.79014,0.96172,0.93763,0.90916,0.93379,0.85827,0.44556,0.49668,0.95386,8.60672e-05,8.60672e-05,8.60672e-05
14,1413.77,0.52386,0.76708,0.9584,0.94814,0.90646,0.93519,0.86532,0.43338,0.4856,0.95148,7.95728e-05,7.95728e-05,7.95728e-05
15,1514.27,0.52928,0.77323,0.96504,0.93531,0.91311,0.932,0.85928,0.43234,0.48535,0.94596,7.30784e-05,7.30784e-05,7.30784e-05
16,1607.24,0.44653,0.64291,0.92795,0.94653,0.91029,0.93922,0.86749,0.4246,0.46724,0.94188,6.6584e-05,6.6584e-05,6.6584e-05
17,1708.54,0.4391,0.61707,0.9238,0.93995,0.90943,0.93845,0.86804,0.42358,0.46477,0.94363,6.00896e-05,6.00896e-05,6.00896e-05
18,1801.42,0.4298,0.59972,0.91773,0.94813,0.90972,0.94035,0.86984,0.41992,0.45667,0.93794,5.35952e-05,5.35952e-05,5.35952e-05
19,1898.4,0.42347,0.58697,0.91047,0.94471,0.91206,0.94005,0.87326,0.40986,0.44849,0.93291,4.71008e-05,4.71008e-05,4.71008e-05
20,1991.44,0.41993,0.57386,0.90902,0.94634,0.9108,0.94296,0.87548,0.40472,0.43709,0.92901,4.06064e-05,4.06064e-05,4.06064e-05
21,2091.9,0.4133,0.5658,0.90501,0.94324,0.91308,0.9435,0.8773,0.40276,0.4342,0.92805,3.4112e-05,3.4112e-05,3.4112e-05
22,2183.59,0.4123,0.55617,0.90376,0.94295,0.91031,0.94728,0.87721,0.40327,0.42367,0.92902,2.76176e-05,2.76176e-05,2.76176e-05
23,2282.72,0.40673,0.54857,0.89911,0.93864,0.91789,0.9464,0.87886,0.401,0.42385,0.92614,2.11232e-05,2.11232e-05,2.11232e-05
24,2377.14,0.40674,0.54883,0.90017,0.93698,0.91425,0.94477,0.8776,0.39635,0.42655,0.92419,1.46288e-05,1.46288e-05,1.46288e-05
25,2469.74,0.40258,0.54215,0.89652,0.93567,0.92041,0.94722,0.87909,0.39729,0.42055,0.92506,8.1344e-06,8.1344e-06,8.1344e-06
