epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9266,1.57592,4.20986,1.49286,0.74617,0.43463,0.61134,0.447,1.14712,2.53303,1.17933,7.75032e-05,7.75032e-05,7.75032e-05
2,129.996,1.5188,2.70697,1.49057,0.73978,0.77907,0.85078,0.61976,1.13792,1.41069,1.27894,0.000149025,0.000149025,0.000149025
3,188.507,1.43973,2.07557,1.44389,0.78207,0.88048,0.93739,0.67815,1.13813,1.08965,1.28042,0.000214396,0.000214396,0.000214396
4,248.206,1.35118,1.76023,1.38918,0.85664,0.74354,0.86993,0.62709,1.14219,1.01534,1.28124,0.00020532,0.00020532,0.00020532
5,309.276,1.31091,1.60932,1.35898,0.8731,0.89239,0.93954,0.67667,1.20119,0.79245,1.32759,0.000196093,0.000196093,0.000196093
6,368.319,1.28725,1.52527,1.34681,0.83966,0.93791,0.9576,0.68385,1.17758,0.90292,1.31333,0.000186866,0.000186866,0.000186866
7,429.035,1.24866,1.4436,1.31485,0.73897,0.82614,0.90121,0.65827,1.11232,0.96438,1.28735,0.000177639,0.000177639,0.000177639
8,487.15,1.23276,1.38651,1.30703,0.75864,0.91955,0.9505,0.67966,1.16204,0.83697,1.36767,0.000168412,0.000168412,0.000168412
9,548.767,1.22121,1.35043,1.30432,0.81696,0.95396,0.95304,0.68612,1.22275,0.83668,1.38743,0.000159186,0.000159186,0.000159186
10,605.659,1.20783,1.31323,1.29097,0.74963,0.88556,0.918,0.66701,1.1461,0.89708,1.33507,0.000149959,0.000149959,0.000149959
11,665.322,1.18365,1.2826,1.2784,0.73214,0.93388,0.93552,0.67916,1.15734,0.82438,1.34438,0.000140732,0.000140732,0.000140732
12,722.142,1.17886,1.25404,1.28047,0.73115,0.90554,0.89355,0.64202,1.17574,0.86983,1.3701,0.000131505,0.000131505,0.000131505
13,783.44,1.16887,1.227,1.26817,0.65559,0.79651,0.86772,0.62317,1.1601,0.93835,1.38126,0.000122278,0.000122278,0.000122278
14,842.006,1.16769,1.22039,1.27189,0.67373,0.90212,0.87267,0.63133,1.16967,0.8775,1.38996,0.000113052,0.000113052,0.000113052
