epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.177,1.4039,4.50321,0.96454,0.04572,0.14315,0.03836,0.03033,0.79176,2.89338,0.82252,5.96326e-05,5.96326e-05,5.96326e-05
2,539.579,0.96675,2.99774,0.85359,0.14645,0.39613,0.16363,0.13487,0.67393,2.27484,0.80912,0.000114575,0.000114575,0.000114575
3,790.915,0.86685,2.42215,0.84132,0.33971,0.54775,0.39793,0.3368,0.61139,1.71177,0.80272,0.000164792,0.000164792,0.000164792
4,1039.65,0.80714,2.00967,0.83465,0.51063,0.68185,0.61419,0.52451,0.58745,1.31945,0.8003,0.000157735,0.000157735,0.000157735
5,1288.69,0.77566,1.69448,0.82913,0.64919,0.74901,0.75186,0.64965,0.55419,1.05156,0.79687,0.000150646,0.000150646,0.000150646
6,1538.35,0.7428,1.47169,0.82541,0.72699,0.80107,0.82226,0.71495,0.54048,0.88847,0.7946,0.000143558,0.000143558,0.000143558
7,1786.19,0.72006,1.30908,0.82225,0.78408,0.8384,0.87071,0.75467,0.55037,0.77766,0.79494,0.00013647,0.00013647,0.00013647
8,2030.89,0.7027,1.19457,0.82011,0.80515,0.86381,0.89644,0.78567,0.52059,0.70716,0.79192,0.000129381,0.000129381,0.000129381
9,2281.86,0.68418,1.11291,0.81829,0.82559,0.87511,0.90808,0.79782,0.51823,0.66517,0.79111,0.000122293,0.000122293,0.000122293
10,2528.98,0.67291,1.04807,0.81572,0.84673,0.89312,0.9256,0.81906,0.50043,0.61622,0.78978,0.000115204,0.000115204,0.000115204
11,2779.94,0.66274,0.99736,0.81566,0.85989,0.89719,0.93788,0.82797,0.50675,0.58458,0.78971,0.000108116,0.000108116,0.000108116
12,3039.61,0.65308,0.94633,0.81376,0.87192,0.9031,0.94361,0.83967,0.48488,0.55614,0.78745,0.000101028,0.000101028,0.000101028
13,3293.72,0.64336,0.91067,0.8118,0.87889,0.91223,0.9504,0.84413,0.48844,0.5364,0.78781,9.39392e-05,9.39392e-05,9.39392e-05
14,3550.36,0.63266,0.87126,0.81031,0.87291,0.92911,0.94998,0.8465,0.48354,0.52311,0.78693,8.68508e-05,8.68508e-05,8.68508e-05
15,3807.39,0.62607,0.8532,0.80985,0.89291,0.93313,0.95996,0.85685,0.47865,0.49772,0.78657,7.97624e-05,7.97624e-05,7.97624e-05
16,4067.46,0.54775,0.66755,0.7991,0.89384,0.92806,0.95982,0.8583,0.47693,0.48803,0.786,7.2674e-05,7.2674e-05,7.2674e-05
17,4318.97,0.53289,0.63411,0.79726,0.89848,0.93852,0.96318,0.8625,0.47359,0.47081,0.78591,6.55856e-05,6.55856e-05,6.55856e-05
18,4559.84,0.52461,0.61031,0.79713,0.90475,0.93687,0.96521,0.86822,0.46245,0.45812,0.78452,5.84972e-05,5.84972e-05,5.84972e-05
19,4805.71,0.5207,0.59511,0.79633,0.8977,0.94652,0.96433,0.86853,0.45841,0.45271,0.78435,5.14088e-05,5.14088e-05,5.14088e-05
20,5049.49,0.51383,0.57621,0.79521,0.91775,0.94273,0.97026,0.87504,0.45601,0.43546,0.7835,4.43204e-05,4.43204e-05,4.43204e-05
21,5292.61,0.50871,0.56351,0.79405,0.91782,0.94424,0.97189,0.87777,0.45191,0.42919,0.78319,3.7232e-05,3.7232e-05,3.7232e-05
22,5535.78,0.50387,0.55328,0.79365,0.91956,0.94692,0.97196,0.87868,0.44929,0.42336,0.7829,3.01436e-05,3.01436e-05,3.01436e-05
23,5786.86,0.50102,0.54353,0.79344,0.92231,0.9498,0.97361,0.88091,0.44628,0.41717,0.78232,2.30552e-05,2.30552e-05,2.30552e-05
24,6034.82,0.49843,0.53673,0.79257,0.92494,0.94612,0.97357,0.88018,0.44881,0.41601,0.78247,1.59668e-05,1.59668e-05,1.59668e-05
25,6281.28,0.49485,0.53147,0.79223,0.9231,0.94979,0.9737,0.88177,0.44465,0.41268,0.7822,8.8784e-06,8.8784e-06,8.8784e-06
